Event Description,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Time to Restore
Severe Weather - Hurricane Isaac,8/29/2012,6:53 AM,8/30/2012,2:00 PM,7:07
Severe Weather - Hurricane Isaac,8/29/2012,9:48 AM,8/31/2012,12:55 PM,3:07
Severe Weather - Hurricane Isaac,8/29/2012,9:00 AM,8/31/2012,12:00 PM,3:00
Severe Weather - Hurricane Isaac,8/28/2012,6:00 AM,9/4/2012,8:00 AM,2:00
Suspected Physical Attack,8/19/2012,8:42 AM,8/19/2012,12:08 PM,3:26
Vandalism,8/16/2012,1:13 PM,8/16/2012,1:13 PM,0:00
Severe Weather - Dust Storm; Load Shed Event,8/13/2012,3:52 PM,8/13/2012,7:44 PM,3:52
Vandalism,8/13/2012,1:15 PM,8/13/2012,1:15 PM,0:00
Suspected Physical Attack,8/11/2012,12:45 PM,8/11/2012,5:00 PM,4:15
Severe Weather - Thunderstorms,8/4/2012,4:00 AM,8/4/2012,7:20 AM,3:20
Electrical System Separation (Islanding),8/4/2012,3:55 AM,8/4/2012,4:21 AM,0:26
Public Appeal to Reduce Electricity Usage,8/1/2012,12:00 PM,8/1/2012,12:00 PM,0:00
